OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
BOTU_2143,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,unidentified,BOTU_2143_Skermanella
BOTU_2138,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,unidentified,unidentified,unidentified,BOTU_2138_Microtrichales
BOTU_2145,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,unidentified,BOTU_2145_0319-6G20
BOTU_2147,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,unidentified,unidentified,BOTU_2147_Nostocaceae
BOTU_2149,Bacteria,Chloroflexi,Ktedonobacteria,C0119,C0119,C0119,uncultured_bacterium,BOTU_2149_uncultured_bacterium
BOTU_2151,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured_bacterium,BOTU_2151_uncultured_bacterium
BOTU_2158,Bacteria,Chloroflexi,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2158_Chloroflexi
BOTU_2150,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,uncultured_bacterium,BOTU_2150_uncultured_bacterium
BOTU_2152,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadales,Armatimonadales,uncultured_bacterium,BOTU_2152_uncultured_bacterium
BOTU_2153,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter_fermentans,BOTU_2153_Dyadobacter_fermentans
BOTU_2156,Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,uncultured_bacterium,BOTU_2156_uncultured_bacterium
BOTU_2165,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,unidentified,BOTU_2165_Mitochondria
BOTU_2154,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2154_Bacteria
BOTU_2146,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,uncultured_bacterium,BOTU_2146_uncultured_bacterium
BOTU_2157,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,Dongia_sp.,BOTU_2157_Dongia_sp.
